,_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
0,5ff1e1eb0a720f0523000575,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,500.0,2021-01-03,5.0,FINISHED,26.0,5ff1e1eacfcf6c399c274ae6
1,5ff1e1bb0a720f052300056b,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,150.0,2021-01-02,2.0,FINISHED,11.0,5ff1e194b6a9d73a3a9f1052
2,5ff1e1f10a720f052300057a,5.0,All-receipts receipt bonus,2021-01-03,2021-01-03,,2021-01-03,,5.0,2021-01-03,1.0,REJECTED,10.0,5ff1e1f1cfcf6c399c274b0b
3,5ff1e1ee0a7214ada100056f,5.0,All-receipts receipt bonus,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,5.0,2021-01-03,4.0,FINISHED,28.0,5ff1e1eacfcf6c399c274ae6
4,5ff1e1d20a7214ada1000561,5.0,All-receipts receipt bonus,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,5.0,2021-01-02,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
5,5ff1e1e40a7214ada1000566,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,750.0,2021-01-02,1.0,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3
6,5ff1e1cd0a720f052300056f,5.0,All-receipts receipt bonus,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,5.0,2021-01-03,1.0,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052
7,5ff1e1a40a720f0523000569,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,500.0,2020-12-27,1.0,FINISHED,10.0,5ff1e194b6a9d73a3a9f1052
8,5ff1e1ed0a7214ada100056e,5.0,All-receipts receipt bonus,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,5.0,2021-01-03,5.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6
9,5ff1e1eb0a7214ada100056b,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,250.0,2021-01-03,3.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6
10,5ff1e1c50a720f052300056c,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,100.0,2021-01-02,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
11,5ff1e1a10a720f0523000568,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,750.0,2021-01-02,5.0,FINISHED,50.0,5ff1e194b6a9d73a3a9f1052
12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03,2021-01-03,,2021-01-03,,8850.0,2021-02-03,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30,2020-10-30,,2021-01-03,2020-10-30,750.0,2020-10-29,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
14,5ff1e1b20a7214ada100055a,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,300.0,2021-02-03,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
15,5ff1e1e90a7214ada1000569,,,2021-01-03,2021-01-03,,2021-01-03,,,,0.0,FLAGGED,0.0,5ff1e1e9b6a9d73a3a9f10f6
16,5ff1e1df0a7214ada1000564,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,750.0,2021-01-02,2.0,FINISHED,11.0,5ff1e1dfcfcf6c399c274ab3
